id,name,category,subcategory,neighborhood,description,address,link,latitude,longitude,submitted_by_fid,submitted_by_username,submitted_by_display_name,submitted_by_pfp_url,featured,status,created_at
a1b2c3d4-e5f6-7890-abcd-ef1234567801,Tatte Bakery & Cafe,Coffee,Breakfast,Back Bay,"The best morning in Boston: a cardamom coffee and a slice of something impossible. The Newbury St location has the best light.",70 Newbury St Boston MA 02116,https://www.tattebakery.com,42.3508,-71.0831,0,genuinejack,Genuine Jack,,true,approved,2026-03-15 09:00:00
a1b2c3d4-e5f6-7890-abcd-ef1234567802,Flour Bakery + Cafe,Food & Drink,Breakfast,South End,"Joanne Chang's baking is the standard against which Boston bakeries are judged. The sticky bun is not a metaphor. It is a physical fact.",1595 Washington St Boston MA 02118,https://flourbakery.com,42.3424,-71.0777,0,genuinejack,Genuine Jack,,true,approved,2026-03-14 10:00:00
a1b2c3d4-e5f6-7890-abcd-ef1234567803,Row 34,Food & Drink,Dinner,Seaport,"The best raw bar in the city. Local oysters, serious wine list, no pretension. The burger at lunch is also excellent and people don't talk about it enough.",383 Congress St Boston MA 02210,https://row34.com,42.3520,-71.0503,0,genuinejack,Genuine Jack,,true,approved,2026-03-13 11:00:00
a1b2c3d4-e5f6-7890-abcd-ef1234567804,The Beehive,Nightlife,,South End,"Jazz seven nights a week in a basement that feels like Paris in 1955. The cocktails are good. The music is better. Show up early.",541 Tremont St Boston MA 02116,https://beehiveboston.com,42.3411,-71.0724,0,genuinejack,Genuine Jack,,true,approved,2026-03-12 12:00:00
a1b2c3d4-e5f6-7890-abcd-ef1234567805,The Fenway Victory Gardens,Outdoors,,Fenway / Kenmore,"The oldest continuously operating victory garden in the US. Plots have been growing here since 1942. Walk through it in May.",Park Dr Boston MA 02215,https://fenwayvictorygardens.com,42.3432,-71.0951,0,genuinejack,Genuine Jack,,false,approved,2026-03-11 09:00:00
a1b2c3d4-e5f6-7890-abcd-ef1234567806,Mike & Patty's,Food & Drink,Breakfast,Beacon Hill,"Seven-seat breakfast counter on a side street. The fancy egg sandwich will reorganize your morning. Cash only. Worth the wait.",12 Church St Boston MA 02116,https://mikeandpattys.com,42.3551,-71.0681,0,genuinejack,Genuine Jack,,true,approved,2026-03-10 10:00:00
a1b2c3d4-e5f6-7890-abcd-ef1234567807,Pavement Coffeehouse,Coffee,,Fenway / Kenmore,"Before the game, after the game, instead of going to the game. The espresso is consistent in the way that matters.",1096 Boylston St Boston MA 02215,https://pavementcoffeehouse.com,42.3461,-71.0916,0,genuinejack,Genuine Jack,,false,approved,2026-03-09 11:00:00
a1b2c3d4-e5f6-7890-abcd-ef1234567808,Sportello,Food & Drink,Lunch,Seaport,"Lunch counter Italian from Barbara Lynch. Sit at the curved bar, order the pasta, don't rush. Quietly one of the best restaurants in the city.",348 Congress St Boston MA 02210,https://sportelloboston.com,42.3524,-71.0508,0,genuinejack,Genuine Jack,,false,approved,2026-03-08 12:00:00
a1b2c3d4-e5f6-7890-abcd-ef1234567809,Regina Pizzeria,Food & Drink,Dinner,North End,"Since 1926. The original location on Thatcher St is the one. Thin crust, brick oven, no delivery. Go there.",11½ Thacher St Boston MA 02113,https://reginapizzeria.com,42.3647,-71.0567,0,genuinejack,Genuine Jack,,true,approved,2026-03-07 09:00:00
a1b2c3d4-e5f6-7890-abcd-ef1234567810,Trident Booksellers & Cafe,Coffee,,Back Bay,"Books and coffee in the same room, which is the correct way to spend a Saturday. The back wall is floor-to-ceiling paperbacks.",338 Newbury St Boston MA 02115,https://tridentbookscafe.com,42.3492,-71.0860,0,genuinejack,Genuine Jack,,false,approved,2026-03-06 10:00:00
